Name,Aadhaar,Phone,Voter_ID,Age,Gender,City,State,Booth_Number,Ward_Number,Election_ID,Vote_Status
Arjun Reddy,131072672924,916247398851,VOT1000,80,Male,Surat,Tamil Nadu,81,18,ELEC905,Not Voted
Aditya Shah,590837040040,916721277598,VOT1001,43,Female,Bangalore,Telangana,101,70,ELEC264,Not Voted
Reyansh Mehta,244107703349,919606380011,VOT1002,26,Female,Hyderabad,Gujarat,257,18,ELEC807,Not Voted
Reyansh Gupta,628739999122,919763992612,VOT1003,57,Female,Chennai,Gujarat,282,12,ELEC232,Voted
Riya Reddy,988384542721,919832039254,VOT1004,23,Male,Ahmedabad,Karnataka,88,20,ELEC825,Voted
Aditya Reddy,156349615294,919668469039,VOT1005,52,Female,Surat,Tamil Nadu,194,80,ELEC537,Not Voted
Aditya Mehta,123219327428,919545910964,VOT1006,37,Female,Bangalore,Karnataka,168,46,ELEC357,Voted
Sai Singh,584223236549,919804737954,VOT1007,75,Female,Vadodara,Tamil Nadu,237,4,ELEC776,Not Voted
Vihaan Gupta,446852892434,916646333335,VOT1008,57,Male,Ahmedabad,Telangana,215,100,ELEC112,Voted
Vihaan Iyer,548928589405,917397046883,VOT1009,31,Female,Mumbai,Karnataka,284,97,ELEC104,Not Voted
Riya Singh,489710517039,919127480956,VOT1010,61,Male,Pune,Tamil Nadu,42,1,ELEC138,Voted
Ira Reddy,959380558750,919585055558,VOT1011,50,Female,Hyderabad,Gujarat,231,65,ELEC120,Voted
Riya Patel,251880355260,916922711603,VOT1012,52,Female,Hyderabad,Karnataka,122,65,ELEC460,Voted
Ishaan Patel,684821398588,919860762836,VOT1013,49,Female,Ahmedabad,Maharashtra,259,38,ELEC178,Not Voted
Sai Mehta,642355271136,917414239965,VOT1014,22,Male,Pune,Tamil Nadu,211,9,ELEC833,Not Voted
Riya Patel,544613521257,917649920701,VOT1015,30,Male,Chennai,Tamil Nadu,36,61,ELEC501,Not Voted
Aadhya Verma,875679769722,919076683170,VOT1016,41,Female,Chennai,Maharashtra,142,67,ELEC375,Voted
Anika Gupta,403338922083,918284990392,VOT1017,65,Female,Surat,Maharashtra,250,57,ELEC356,Not Voted
Navya Shah,870212731970,917136456142,VOT1018,49,Female,Vadodara,Maharashtra,240,1,ELEC813,Not Voted
Vihaan Verma,147043243924,919361671337,VOT1019,40,Female,Pune,Tamil Nadu,13,73,ELEC142,Not Voted
Krishna Singh,549360588879,919447080634,VOT1020,19,Male,Chennai,Telangana,115,24,ELEC407,Voted
Ananya Mehta,365980362435,916052383726,VOT1021,38,Female,Hyderabad,Karnataka,130,35,ELEC527,Not Voted
Vivaan Patel,685932665856,919696101396,VOT1022,38,Male,Bangalore,Telangana,235,4,ELEC571,Not Voted
Aarav Nair,155904196072,917614986634,VOT1023,54,Male,Pune,Tamil Nadu,287,68,ELEC864,Voted
Ishaan Reddy,448254565776,916698229129,VOT1024,72,Female,Hyderabad,Tamil Nadu,113,9,ELEC252,Not Voted
Ishaan Shah,230425466164,916401474824,VOT1025,26,Male,Hyderabad,Maharashtra,267,85,ELEC970,Not Voted
Ira Patel,809849681305,916330580466,VOT1026,50,Female,Mumbai,Gujarat,44,99,ELEC833,Not Voted
Vihaan Singh,920051865935,917139702231,VOT1027,18,Female,Surat,Gujarat,194,48,ELEC791,Voted
Arjun Gupta,835661914625,916977653205,VOT1028,38,Male,Mumbai,Tamil Nadu,133,51,ELEC263,Not Voted
Sai Mehta,479733438278,916140035941,VOT1029,37,Female,Mumbai,Maharashtra,182,54,ELEC219,Voted
Shaurya Nair,529089268190,916321152549,VOT1030,38,Female,Ahmedabad,Karnataka,265,10,ELEC767,Voted
Ishaan Joshi,932709041534,919928508678,VOT1031,70,Female,Chennai,Karnataka,119,46,ELEC377,Not Voted
Vivaan Reddy,280597158512,919511317425,VOT1032,56,Female,Hyderabad,Maharashtra,78,86,ELEC524,Voted
Vihaan Patel,673335373350,918870431504,VOT1033,34,Female,Mumbai,Maharashtra,58,83,ELEC299,Not Voted
Ishaan Verma,851658429246,916978316559,VOT1034,42,Female,Ahmedabad,Karnataka,264,73,ELEC848,Voted
Krishna Reddy,393994778858,919688572100,VOT1035,73,Male,Mumbai,Telangana,132,74,ELEC371,Not Voted
Kavya Reddy,286948401466,918787108513,VOT1036,58,Female,Pune,Telangana,77,96,ELEC837,Voted
Vihaan Singh,362703608716,918361363455,VOT1037,66,Male,Surat,Gujarat,33,68,ELEC117,Voted
Vihaan Joshi,719478168854,919198701967,VOT1038,61,Male,Vadodara,Gujarat,52,35,ELEC992,Voted
Ananya Nair,294062443464,917500839028,VOT1039,54,Male,Vadodara,Gujarat,67,32,ELEC837,Voted
Vihaan Nair,943537879476,916518633536,VOT1040,58,Female,Vadodara,Maharashtra,7,1,ELEC527,Not Voted
Myra Nair,516104407396,917336566732,VOT1041,31,Female,Pune,Telangana,144,32,ELEC292,Voted
Vivaan Mehta,463337406039,918365419666,VOT1042,53,Female,Ahmedabad,Karnataka,110,27,ELEC749,Voted
Aadhya Verma,646532068007,916411014816,VOT1043,65,Male,Surat,Maharashtra,268,15,ELEC619,Voted
Vivaan Singh,107674595654,916152566100,VOT1044,38,Male,Bangalore,Tamil Nadu,46,93,ELEC592,Not Voted
Sai Mehta,959646316233,917280066010,VOT1045,67,Female,Surat,Gujarat,247,47,ELEC154,Voted
Ira Shah,820812457899,917750105601,VOT1046,49,Female,Vadodara,Telangana,99,6,ELEC317,Not Voted
Myra Verma,661894495364,918412670236,VOT1047,29,Male,Mumbai,Telangana,182,74,ELEC858,Voted
Vivaan Iyer,712244390852,918731377419,VOT1048,27,Female,Pune,Karnataka,92,73,ELEC123,Not Voted
Ananya Singh,846723023624,916438439239,VOT1049,60,Male,Chennai,Tamil Nadu,118,23,ELEC879,Voted
Ishaan Reddy,381947632509,916293995807,VOT1050,32,Female,Ahmedabad,Telangana,101,75,ELEC105,Voted
Ananya Mehta,525843953244,919230981507,VOT1051,23,Male,Bangalore,Tamil Nadu,167,37,ELEC806,Voted
Kavya Patel,135717485863,919977624973,VOT1052,49,Male,Bangalore,Gujarat,31,12,ELEC658,Voted
Kavya Nair,529890367265,917273219813,VOT1053,37,Female,Mumbai,Telangana,262,88,ELEC677,Voted
Ira Mehta,219000495685,917021738968,VOT1054,71,Female,Bangalore,Karnataka,109,21,ELEC775,Not Voted
Anika Patel,286499362400,917764095500,VOT1055,27,Male,Ahmedabad,Telangana,263,60,ELEC676,Not Voted
Aarav Reddy,334030329193,918874550238,VOT1056,74,Male,Mumbai,Tamil Nadu,271,37,ELEC674,Voted
Vivaan Singh,410548261387,919223990600,VOT1057,32,Male,Mumbai,Tamil Nadu,149,89,ELEC892,Voted
Riya Nair,601850129256,917203335363,VOT1058,45,Male,Hyderabad,Telangana,42,84,ELEC618,Voted
Navya Shah,632182901222,918656781038,VOT1059,38,Female,Mumbai,Tamil Nadu,4,87,ELEC869,Voted
Aarav Iyer,120164588620,919207196501,VOT1060,30,Male,Pune,Maharashtra,194,69,ELEC757,Voted
Diya Iyer,893639946139,919694199144,VOT1061,37,Male,Surat,Gujarat,145,39,ELEC613,Voted
Diya Singh,599271878118,919742216942,VOT1062,54,Female,Hyderabad,Gujarat,59,27,ELEC895,Not Voted
Sai Reddy,255648958985,916728012517,VOT1063,47,Female,Pune,Gujarat,157,95,ELEC591,Not Voted
Ira Verma,788024359820,918187842683,VOT1064,26,Male,Pune,Tamil Nadu,128,74,ELEC433,Not Voted
Krishna Gupta,757229044509,918346925977,VOT1065,34,Male,Surat,Karnataka,109,94,ELEC476,Voted
Ira Mehta,439181019707,917132538331,VOT1066,49,Male,Pune,Tamil Nadu,257,72,ELEC665,Voted
Sai Iyer,813685101215,916492552652,VOT1067,21,Male,Ahmedabad,Telangana,38,17,ELEC457,Not Voted
Navya Patel,738206927068,917278346657,VOT1068,44,Female,Pune,Tamil Nadu,94,28,ELEC923,Voted
Vivaan Verma,303604564858,916181298821,VOT1069,19,Female,Vadodara,Telangana,55,94,ELEC932,Voted
Arjun Joshi,991538788097,919659103844,VOT1070,33,Female,Bangalore,Tamil Nadu,64,77,ELEC718,Not Voted
Vihaan Singh,629484087368,916930469199,VOT1071,36,Male,Surat,Gujarat,133,83,ELEC771,Voted
Vivaan Gupta,323842509443,918803446574,VOT1072,64,Male,Bangalore,Maharashtra,123,60,ELEC640,Voted
Vivaan Gupta,627902167491,918172987139,VOT1073,62,Male,Hyderabad,Karnataka,116,54,ELEC973,Voted
Aarav Mehta,874132668232,916796256454,VOT1074,26,Female,Surat,Telangana,154,42,ELEC915,Voted
Ananya Reddy,783423046256,919452932247,VOT1075,32,Female,Ahmedabad,Karnataka,13,64,ELEC824,Voted
Riya Mehta,135848275369,917007807391,VOT1076,67,Female,Mumbai,Maharashtra,134,37,ELEC947,Not Voted
Shaurya Gupta,364562492305,917319682148,VOT1077,38,Female,Mumbai,Karnataka,172,99,ELEC113,Not Voted
Aarav Mehta,537510473908,917924645537,VOT1078,56,Female,Hyderabad,Gujarat,112,97,ELEC721,Not Voted
Shaurya Gupta,299287458436,918609917535,VOT1079,24,Female,Mumbai,Telangana,55,44,ELEC410,Voted
Myra Joshi,656992968972,919239522038,VOT1080,33,Male,Chennai,Karnataka,161,21,ELEC913,Voted
Kavya Joshi,366112863398,919983641615,VOT1081,66,Female,Ahmedabad,Karnataka,235,72,ELEC118,Voted
Aadhya Singh,966472306156,918799626809,VOT1082,54,Female,Ahmedabad,Tamil Nadu,189,100,ELEC495,Not Voted
Riya Shah,396053890728,919767965016,VOT1083,27,Male,Ahmedabad,Gujarat,186,59,ELEC212,Voted
Ishaan Gupta,972880900743,919397353508,VOT1084,48,Female,Mumbai,Gujarat,221,58,ELEC972,Voted
Vivaan Mehta,192897195416,917063556952,VOT1085,79,Female,Surat,Maharashtra,281,42,ELEC463,Not Voted
Ira Shah,524812657335,916164536099,VOT1086,29,Female,Chennai,Tamil Nadu,78,15,ELEC393,Voted
Vihaan Nair,122044298026,919426991242,VOT1087,67,Female,Mumbai,Gujarat,70,30,ELEC629,Not Voted
Shaurya Singh,755523917628,918070372817,VOT1088,71,Female,Bangalore,Karnataka,195,30,ELEC707,Voted
Shaurya Patel,531957457520,919440094114,VOT1089,22,Female,Chennai,Telangana,50,63,ELEC139,Voted
Reyansh Mehta,183082174093,919161047668,VOT1090,23,Female,Chennai,Telangana,95,76,ELEC290,Voted
Riya Mehta,903220175341,917268187510,VOT1091,29,Female,Ahmedabad,Karnataka,50,67,ELEC553,Not Voted
Riya Verma,984930624663,919677408314,VOT1092,62,Female,Vadodara,Gujarat,127,72,ELEC603,Voted
Arjun Gupta,360099832649,917031264867,VOT1093,60,Male,Pune,Telangana,180,89,ELEC176,Not Voted
